wavelength,channel_1
1264.3,-32.7676
1264.31,-32.6845
1264.32,-32.6603
1264.33,-32.5219
1264.34,-32.5963
1264.35,-32.7286
1264.36,-32.9007
1264.37,-32.8436
1264.38,-32.8933
1264.39,-33.0824
1264.4,-33.0464
1264.41,-32.866
1264.42,-32.843
1264.43,-33.0219
1264.44,-32.9768
1264.45,-32.7178
1264.46,-32.8245
1264.47,-32.9251
1264.48,-32.7957
1264.49,-32.7904
1264.5,-32.7703
1264.51,-32.7878
1264.52,-32.5451
1264.53,-32.4982
1264.54,-32.5636
1264.55,-32.4889
1264.56,-32.4197
1264.57,-32.5982
1264.58,-32.5633
1264.59,-32.4529
1264.6,-32.2293
1264.61,-32.2774
1264.62,-32.2451
1264.63,-32.2223
1264.64,-32.3097
1264.65,-32.2713
1264.66,-32.0146
1264.67,-32.0984
1264.68,-31.867
1264.69,-31.7758
1264.7,-31.764
1264.71,-31.8863
1264.72,-32.0523
1264.73,-31.9158
1264.74,-31.689
1264.75,-31.9459
1264.76,-31.5924
1264.77,-31.3316
1264.78,-31.5174
1264.79,-31.7295
1264.8,-31.5619
1264.81,-31.3071
1264.82,-31.4657
1264.83,-31.4706
1264.84,-31.4793
1264.85,-31.264
1264.86,-31.323
1264.87,-31.353
1264.88,-31.2068
1264.89,-31.2966
1264.9,-31.1615
1264.91,-31.1261
1264.92,-31.1161
1264.93,-30.8877
1264.94,-30.9319
1264.95,-31.0002
1264.96,-31.0531
1264.97,-31.2299
1264.98,-31.153
1264.99,-30.8664
1265.0,-30.9361
1265.01,-30.7467
1265.02,-30.8196
1265.03,-30.8388
1265.04,-30.851
1265.05,-30.7634
1265.06,-30.5802
1265.07,-30.8673
1265.08,-30.7901
1265.09,-30.7484
1265.1,-30.8135
1265.11,-30.8517
1265.12,-30.8629
1265.13,-30.7229
1265.14,-30.5027
1265.15,-30.6054
1265.16,-30.7144
1265.17,-30.9377
1265.18,-30.7274
1265.19,-30.9275
1265.2,-31.0706
1265.21,-30.9371
1265.22,-30.8882
1265.23,-30.7857
1265.24,-30.8825
1265.25,-30.911
1265.26,-30.7244
1265.27,-30.8577
1265.28,-30.8204
1265.29,-30.6909
1265.3,-30.5998
1265.31,-30.8043
1265.32,-31.0981
1265.33,-30.8692
1265.34,-31.023
1265.35,-31.1152
1265.36,-31.073
1265.37,-31.0584
1265.38,-31.2101
1265.39,-31.0837
1265.4,-31.2317
1265.41,-30.9899
1265.42,-31.0674
